english,german,similarity
The Allianz Group is one of the leading integrated financial services providers world- wide.,Die Allianz Gruppe ist einer der führenden integrierten Finanzdienstleister weltweit.,0.9532145261764526
"2007 2006 2005 2007 2006 2005 Operating revenues €mn 5,721 7,088 6,318 Operating revenues €mn 3,259 3,044, 2,722 Operating profit €mn 773 1,422 704 ~~ Operating profit €mn 1,359 1,290 1,132 Net income €mn 377 918 1,037 Net income €mn 498 404 244 Cost-income ratio % 88.7 79.5 90.6 Cost-income ratio % 58.3 57.6 58.4 Operating revenues by regions in%® Assets under management by regions) in% New Europe: 1.3 Asia-Pacific: 4.0 The Americas: 7.6 a~\!","2007 2006 2005 2007 2006 2005 Operative Erträge Mio € 5721 7088 6318 Operative Erträge Mio€ 3259 3.044 2722 Operatives Ergebnis Mio € 773 1422 704 Operatives Ergebnis Mio€ 1359 1290 1132 Periodenüberschuss Mio € 377 918 1037 _ Periodenüberschuss Mio € 498 404 244 Cost-income Ratio % 88,7 79,5 90,6 Cost-income Ratio % 58,3 57,6 58,4 Operative Erträge nach Regionen Kapitalanlagen nach Regionen "") in% in% ‚Asien-Pazifik: 4,0 New Europe: 1,3 Nord- und Südamerika: 7,6 — \| Europa: 11,6 Deutschland: 75,5 Übrige: 5,2 (5,4) Asien-Pazifik: 8,4 (8,1) RS USA:562 (571) Deutschland: 15,0 (14,8) Übriges Europa: 15,2 (146) » Ausschlaggebend ist die Herkunft der Kapitalanlagen.",0.8853598833084106
The Allianz Group is one of the leading integrated financial services providers world- wide.,Die Allianz Gruppe ist einer der führenden integrierten Finanzdienstleister weltweit.,0.9532145261764526
"2007 2006 2005 2007 2006 2005 Operating revenues €mn 5,721 7,088 6,318 Operating revenues €mn 3,259 3,044, 2,722 Operating profit €mn 773 1,422 704 ~~ Operating profit €mn 1,359 1,290 1,132 Net income €mn 377 918 1,037 Net income €mn 498 404 244 Cost-income ratio % 88.7 79.5 90.6 Cost-income ratio % 58.3 57.6 58.4 Operating revenues by regions in%® Assets under management by regions) in% New Europe: 1.3 Asia-Pacific: 4.0 The Americas: 7.6 a~\!","2007 2006 2005 2007 2006 2005 Operative Erträge Mio € 5721 7088 6318 Operative Erträge Mio€ 3259 3.044 2722 Operatives Ergebnis Mio € 773 1422 704 Operatives Ergebnis Mio€ 1359 1290 1132 Periodenüberschuss Mio € 377 918 1037 _ Periodenüberschuss Mio € 498 404 244 Cost-income Ratio % 88,7 79,5 90,6 Cost-income Ratio % 58,3 57,6 58,4 Operative Erträge nach Regionen Kapitalanlagen nach Regionen "") in% in% ‚Asien-Pazifik: 4,0 New Europe: 1,3 Nord- und Südamerika: 7,6 — \| Europa: 11,6 Deutschland: 75,5 Übrige: 5,2 (5,4) Asien-Pazifik: 8,4 (8,1) RS USA:562 (571) Deutschland: 15,0 (14,8) Übriges Europa: 15,2 (146) » Ausschlaggebend ist die Herkunft der Kapitalanlagen.",0.8853598833084106
2007 was a record year for the company.,Für Ihre Gesellschaft war 2007 ein Rekordjahr.,0.8776230812072754
"Thanks to the commitment of our 181,207 employees and distributors, we increased revenues to € 102.6 billion and improved operating profit by 5.1% to € 10,915 million.","Dank des engagierten Einsatzes unserer 181 207 Mitarbeiterinnen und Mit- arbeiter sowie unserer Vertriebspartner erhöhten wir den Umsatz auf 102,6 Milliarden Euro und verbesserten wir das ope- rative Ergebnis um 5,1 Prozent auf 10 915 Millionen Euro.",0.8886992931365967
"Net income rose by 13.5% to € 7,966 million.","Das Nettoergebnis stieg um 13,5 Prozent auf 7 966 Millionen Euro.",0.9450370073318481
This almost matches total net income for the years 2003 to 2005 and is the best result in more than a century of the company’s history.,Das entspricht fast den gesamten Nettoergebnissen der Jahre 2003 bis 2005 und ist der beste Jahresüberschuss in unserer über hundertjährigen Unternehmensgeschichte.,0.8946539163589478
What were the biggest challenges in the year under review?,Was waren die größten Herausforderungen im Berichtsjahr?,0.867419421672821
This despite the fact that only 0.16% of assets in our long-term portfolio are related to subprime assets.,"Doch nur 0,16 Prozent der Anlagen in unserem langfristigen Portfolio haben einen Bezug zu Subprime Assets.",0.8763718008995056
