english,german,similarity
It also continued to regularly address the situation and impact of the ongoing COVID-19 pandemic in the financial year 2021.,Er befasste sich auch im Geschäftsjahr 2021 regelmäßig mit dem Stand und den Auswirkungen der weiterhin andauernden COVID-19-Pandemie.,0.8832670450210571
"In the financial year 2021, the Supervisory Board held six regular meetings as well as three extraordinary meetings.",Im Geschäftsjahr 2021 hielt der Aufsichtsrat sechs reguläre Sitzungen sowie drei außerordentliche Sitzungen ab.,0.9408073425292969
"The regular meetings took place in February, March, May, June, September, and December, and the extraordinary meetings took place in August, September and December.","Die regulären Sitzungen fanden im Februar, März, Mai, Juni, September und Dezember statt, die außeror- dentlichen Sitzungen im August, September und Dezember.",0.9286859631538391
"In all of the regular meetings in the financial year, the Board of Management reported on Group revenues and results as well as business developments in the individual business segments.",In allen regulären Sitzungen des Geschäftsjahres erläuterte der Vorstand dem Aufsichtsrat die Entwicklung von Umsatz und Ergebnis im Konzern und ging dabei auf den Geschäftsverlauf in den einzelnen Geschäftsbereichen ein.,0.8623080253601074
"The Board of Management informed the Supervisory Board on the course of business as well as on the development of Allianz SE and the Allianz Group, including deviations in actual business developments from the planning.","Der Vorstand informierte über den Gang der Geschäfte sowie die Entwicklung der Allianz SE und des Allianz Konzerns, einschließlich der Abweichungen des tatsächlichen Geschäftsverlaufs von der Planung.",0.9117429256439209
"Other focal points of reporting, in addition to the situation and impact of the COVID-19 pandemic on overall economic conditions as well as on the insurance industry and Allianz employees, were strategic topics including risk strategy and the Board of Management’s planning for both the fiscal year 2022 and the three-year period from 2022 to 2024.","Weitere Schwerpunkte der Berichterstattung neben dem Stand und den Auswirkungen der COVID-19-Pandemie auf die Gesamtwirtschaft sowie die Versicherungsindustrie und die Mitarbeiterinnen und Mitarbeiter der Allianz waren strategische Themen, einschließlich der Risikostrategie, und die Planung des Vorstands für das Geschäfts- jahr 2022 sowie die Drei-Jahres-Planung 2022 bis 2024.",0.9090394377708435
"Structured Alpha Funds, especially in the second half of 2021.","Structured Alpha Fonds, vor allem im zweiten Halbjahr 2021.",0.9326177835464478
Cyber risk security and the impact of rising inflation rates on the insurance business were also regularly discussed.,Ebenso wurden regelmäßig das Thema Cyber Risk Security sowie die Auswirkungen steigender Inflationsraten auf das Versicherungsgeschäft erörtert.,0.9117794632911682
"Furthermore, the Supervisory Board dealt in depth with personnel matters relating to the Board of Management, as well as succession planning for the Board of Management and Supervisory Board, especially in the context of the upcoming elections to the Supervisory Board in 2022.","Daneben beschäftigte sich der Aufsichtsrat umfassend mit Vorstandspersonalien sowie der Nachfolgeplanung für den Vorstand und den Aufsichtsrat, insbesondere vor dem Hintergrund der im Jahr 2022 anstehenden Wahlen zum Aufsichtsrat.",0.8667245507240295
The Supervisory Board and various committees also discussed appropriate consideration of non-financial targets in the target-setting process for the remuneration of the Board of Management.,Ferner befassten sich der Aufsichtsrat und verschiedene Ausschüsse mit der angemessenen Berücksichtigung nichtfinanzieller Ziele im Zielsetzungsprozess für die Vorstandsvergütung.,0.9151570796966553
"The appointed audit firm, PricewaterhouseCoopers GmbH Wirtschaftsprüfungsgesellschaft (PwC), Munich, reported in detail on the preliminary results of their audit.","Die beauftragte Pricewaterhouse- Coopers GmbH Wirtschaftsprüfungsgesellschaft (PwC), München, berichtete ausführlich über das vorläufige Ergebnis der Abschlussprüfung.",0.9179039001464844
"The Supervisory Board also reviewed and approved the non-financial report for both Allianz SE and the Allianz Group, taking into account the report of the external auditor.",Weiter prüfte der Aufsichtsrat den Nichtfinanziellen Bericht für die Allianz SE und den Allianz Konzern unter Berücksichtigung der Prüfungsergebnisse des externen Prüfers und nahm ihn zustimmend zur Kenntnis.,0.8665950298309326
"In addition, the Board of Management submitted its report on risk developments in the financial year 2020.",Zudem erstattete der Vorstand seinen Bericht zur Risikoentwicklung im Geschäftsjahr 2020.,0.945152759552002
"Furthermore, at the recommendation of the Audit Committee, the Supervisory Board appointed PwC as auditor for the 2021 individual and consolidated financial statements, the auditor’s review of the 2021 half-yearly financial report, and the audit of the non-financial report.",Außerdem beschloss er auf Empfehlung des Prüfungsausschusses die Bestellung der PwC zum Abschlussprüfer für den Einzel- und Konzernabschluss für das Geschäftsjahr 2021 und für die prüferische Durch- sicht des Halbjahresfinanzberichts 2021 sowie für die Prüfung der nichtfinanziellen Berichterstattung.,0.8791415095329285
The Supervisory Board further received reports on the sales intensification (push-to-pull) program and on the situation in the industrial insurance business.,Ferner ließ sich der Aufsichtsrat über das Programm zur Vertriebsintensivierung (Push-to-Pull) und über die Situation im Industrieversicherungsgeschäft berichten.,0.8759344220161438
"Finally, the succession planning for the Board of Management was discussed.",Schließlich wurde die Vorstandsnachfolgeplanung diskutiert.,0.9005945920944214
"On 5 May 2021, just before the AGM, the Board of Management briefed the Supervisory Board on business performance in the first quarter of 2021 as well as on the current situation of both the Allianz Group and Allianz SE, in particular with regard to the wider impact of the COVID-19 pandemic and the acquisition of the insurance and asset management business from Aviva in Poland and Lithuania.","Mai 2021, unmittelbar vor der Hauptversammlung, informierte der Vorstand den Aufsichtsrat über den Geschäftsverlauf im ersten Quartal 2021 und die aktuelle Lage des Allianz Konzerns sowie der Allianz SE, insbe- sondere über die weiteren Auswirkungen der COVID-19-Pandemie sowie den Erwerb des Versicherungs- und Asset-Management-Geschäfts von Aviva in Polen und Litauen.",0.8782263994216919
The Supervisory Board also dealt with the objectives for its composition and matters relating to the Board of Management.,Zudem befasste sich der Aufsichtsrat mit seinen Zielen der Zusammensetzung und Vorstandsangelegenheiten.,0.9052383303642273
"In addition, the Board of Management reported on legal conditions for dividend distributions and the Board’s actions to protect employees in the COVID-19 pandemic, in particular Allianz’s efforts with regard to vaccinations for employees and family members.","Ferner berichtete der Vorstand zu rechtlichen Rahmenbedingungen für Dividenden- schüttungen und den Maßnahmen des Vorstands zum Schutz der Belegschaft in der COVID-19-Pandemie, ins- besondere den Impfanstrengungen der Allianz für Mitarbeiterinnen und Mitarbeiter sowie Familienangehörige.",0.9308652281761169
"The Supervisory Board also dealt comprehensively with Allianz Direct as an insurer with uniform market presence, product range and processes, and a common platform.","Daneben befasste sich der Aufsichtsrat eingehend mit der Allianz Direct als Versicherer mit einem einheitlichen Marktauftritt, Produktangebot, einheitlichen Prozessen und einer gemeinsamen Plattform.",0.9036168456077576
"Other topics covered in the report were an overview of Allianz France’s business activities, a status report on cyber risks and cybersecurity at Allianz and a comparative report on key competitors.","Weitere Berichtsge- genstände waren ein Überblick über den Stand der Geschäftsaktivitäten der Allianz Frankreich, ein Statusbericht zu den Cyber-Risiken und der Cyber-Sicherheit der Allianz sowie ein vergleichender Bericht über wesentliche Wett- bewerber.",0.9036564826965332
The Board of Management then reported on the implementation of its 2018 strategy and presented the first part of the strategy presentation for Strategy 2022+ (trends and implications) for discussion.,Anschließend berichtete der Vorstand über die Umsetzung seiner Strategie 2018 und stellte den ersten Teil der Strategiepräsentation für die Strategie 2022+ (Trends und Implikationen) zur Diskussion.,0.8877393007278442
The Supervisory Board further discussed in detail the preparation for the Supervisory Board elections in 2022 and the general succession planning for the Supervisory Board.,Ferner befasste sich der Aufsichtsrat ausführlich mit der Vorbereitung der Aufsichtsratswahlen im Jahr 2022 und der generellen Nachfolgeplanung für den Aufsichtsrat.,0.9189726710319519
"At an extraordinary meeting on 1 August 2021, the Board of Management informed the Supervisory Board in detail about new developments with respect to administrative investigations in the USA and the ongoing civil proceedings in connection with the Structured Alpha Funds of AllianzGI U.S. LLC.",August 2021 unterrichtete der Vorstand den Aufsichtsrat ausführlich über neue Entwicklungen bei den behördlichen Untersuchungen in den USA sowie den laufenden Klageverfahren im Zusammenhang mit den Structured Alpha Fonds der AllianzGI U.S. LLC.,0.8749268651008606
The meeting focused on the continuation of the presentation on the strategic direction of the Allianz Group and Allianz SE (solo) and on the preparation for Capital Markets Day scheduled for December 2021.,Einen Schwerpunkt der Sitzung bildete die Fortsetzung der Präsentation zur strategischen Ausrichtung des Allianz Konzerns und der Allianz SE (Solo) sowie die Vorbereitung des für Dezember 2021 vorgesehenen Capital Markets Day.,0.9549669623374939
"In particular, the objectives for the period 2022 – 2024 were discussed in detail.",Dabei wurden vor allem die Ziele für den Zeitraum 2022 bis 2024 ausführlich diskutiert.,0.9060368537902832
Another focus was the handling of the AllianzGI U.S.,Einen weiteren Schwerpunkt bildete die Behandlung der AllianzGI U.S.,0.8833924531936646
"The Supervisory Board also discussed the IT strategy as well as the self-evaluation of the Supervisory Board required by supervisory law and the development plan drawn up on this basis, as well as the adjustment of its rules of procedure and the objectives for its composition to reflect changed requirements due to the Financial Market Integrity Strengthening Act (FISG).","Ferner beschäftigte sich der Aufsichtsrat mit der IT-Strategie sowie der aufsichtsrechtlich geforderten Selbstevaluation des Aufsichtsrats und dem darauf aufbauenden Entwicklungsplan, sowie der Anpassung seiner Geschäftsord- nungen und der Ziele für seine Zusammensetzung, um geänderte Anforderungen aufgrund des Gesetzes zur Stärkung der Finanzmarktintegrität (FISG) zu reflektieren.",0.9042714834213257
"The Supervisory Board then met without the Board of Management and discussed the succession planning for the Supervisory Board, the strategy presentation given by the Board of Management at the meeting and the AllianzGI Structured Alpha matter.","Anschließend tagte der Aufsichtsrat ohne den Vorstand und diskutierte dabei die Nachfolgeplanung für den Aufsichtsrat, die in der Sitzung vom Vorstand erstattete Strategie-Präsentation sowie die AllianzGI Structured Alpha-Thematik.",0.9181267619132996
"At an extraordinary meeting on 2 December 2021, the Supervisory Board discussed in detail its deliberations on the adjustment of the dividend policy and was told about a potentially imminent reinsurance transaction of the life insurance company in the USA.",Dezember 2021 diskutierte der Aufsichtsrat in einer außerordentlichen Sitzung eingehend mit dem Vorstand dessen Überlegungen zur Anpassung der Dividendenpolitik und ließ sich über eine möglicherweise kurz bevorstehende Rückversicherungstransaktion der Lebensversicherungsgesellschaft in den USA berichten.,0.8770263195037842
"Furthermore, the Supervisory Board discussed the planning for the financial year 2022 and the three-year plan for 2022 to 2024, including the strategy for the China business, and also addressed the link between the risk strategy and the business strategy.","Ferner behandelte der Aufsichtsrat die Planung für das Geschäftsjahr 2022 sowie die Drei-Jahres-Planung 2022 bis 2024, einschließlich der Strategie für das China-Geschäft, und ging dabei auch auf die Verknüpfung der Risikostrategie mit der Geschäftsstrategie ein.",0.9315989017486572
"Also at that meeting, the Supervisory Board discussed in detail the progress of the different proceedings in connection with the AllianzGI Structured Alpha matter.",Auch in dieser Sitzung erörterte der Aufsichtsrat detailliert den Fortgang der unterschiedlichen Verfahren im Zusammenhang mit der AllianzGI Structured Alpha-Thematik.,0.9298831224441528
"In addition, the Board of Management gave its regular status report on the issue of cyber risk security.",Der Vorstand erstattete zudem seinen regelmäßi- gen Statusbericht zum Thema Cyber Risk Security.,0.8783782720565796
The Supervisory Board also talked to the Board of Management about the possible impact of the current pandemic situation on the preparation and arrangements for the Annual General Meeting in 2022.,Weiter diskutierte der Aufsichtsrat mit dem Vorstand mögliche Auswirkungen der aktuellen Pandemielage auf die Vorbereitung und Ausgestaltung der Hauptversammlung im Jahr 2022.,0.8744269013404846
The system of the Supervisory Board remuneration was also reviewed for appropriateness on the basis of an external benchmark analysis.,Auch das System der Aufsichtsratsvergü- tung wurde auf Basis einer externen Benchmark-Analyse auf Angemessenheit überprüft.,0.8815218210220337
"Furthermore, the Supervisory Board set targets for the variable remuneration of the members of the Board of Management for 2022 and debated succession planning for the Board of Management and the allocation of responsibilities within the Board of Management.",Außerdem setzte der Aufsichtsrat die Ziele für die variable Vergütung der Vorstandsmitglieder für 2022 fest und befasste sich mit der Vorstandsnachfolgeplanung und der Ressortverteilung im Vorstand.,0.8627914190292358
"Finally, the meeting addressed the results of the self-evaluation of the Supervisory Board’s activities (so-called efficiency review), which was conducted in 2021 with the help of an external consultant.","Schließlich wurden die Ergebnisse der Selbst- beurteilung der Aufsichtsratstätigkeit (sogenannt Effizienzprüfung) behandelt, die 2021 mit Hilfe einer externen Beratungsfirma durchgeführt wurde.",0.9225223064422607
"The Supervisory Board then met again without the Board of Management and discussed the AllianzGI Structured Alpha matter, the efficiency review and the planning of the Supervisory Board’s work in the financial year 2022 as well as the succession planning for the Board of Management and the Supervisory Board.","Anschließend tagte der Aufsichtsrat nochmals ohne den Vorstand und diskutierte dabei die AllianzGI Structured Alpha-Thematik, die Effizienzprüfung und die Planung der Aufsichts- ratsarbeit im Geschäftsjahr 2022 sowie die Nachfolgeplanungen für Vorstand und Aufsichtsrat.",0.9415649175643921
"At an extraordinary meeting in March, the committee addressed in detail the planned acquisition of business activities from Aviva in Poland and Lithuania, which required the approval of the Standing Committee due to the transaction value.","In einer außerordentlichen Sitzung im März befasste sich der Ausschuss ausführlich mit der geplanten Übernahme der Geschäftsaktivitäten von Aviva in Polen und Litauen, die aufgrund des Transaktionswertes der Zustimmung des Ständigen Ausschusses bedurfte.",0.9233891367912292
The Board of Management only made use of the approval granted in August.,Der Vorstand machte lediglich von der im August gewährten Zustimmung Gebrauch.,0.9218600988388062
The Personnel Committee held five meetings in 2021 and adopted five written resolutions.,Der Personalausschuss hat 2021 fünf Sitzungen abgehalten und fasste fünf Beschlüsse im schriftlichen Verfahren.,0.8569076657295227
"At the meetings, the committee discussed in detail the succession planning in the Board of Management, mainly with regard to board appointments due to expire at the end of the financial year 2022.","In den Sitzungen befasste sich der Ausschuss eingehend mit der Nachfolgeplanung im Vorstand, vor allem im Hinblick auf die zum Ende des Geschäftsjahres 2022 auslaufenden Vorstandsbestellungen.",0.8944174647331238
The Audit Committee held five meetings in 2021.,Der Prüfungsausschuss hielt 2021 fünf Sitzungen ab.,0.9218122363090515
"One focus of the Audit Committee’s activities was the regular review of the ongoing impact of the COVID-19 pandemic and the effect of natural disasters and weather events, which occurred on a large scale in the last financial year.","Einen Schwerpunkt der Tätigkeit des Prüfungsausschusses bildete die regelmäßige Befassung mit den zum Teil andauernden Auswirkungen der COVID-19-Pandemie sowie den Effekten aus Naturkatastrophen und Wetter- ereignissen, die im letzten Geschäftsjahr in großem Umfang auftraten.",0.9088134169578552
"At several meetings, the Audit Committee discussed with the Board of Management the effects of the changeover to the new accounting standards IFRS 9 & 17 with its respective effects on Allianz’s accounting from financial year 2023 onwards and the status of the implementation measures for a proper transition to the new standards.",In mehreren Sitzungen erörterte der Prüfungsausschuss mit dem Vorstand die Auswirkungen der Umstellung auf die neuen Rechnungslegungsvorschriften IFRS 9 & 17 ab dem Geschäftsjahr 2023 auf die Rechnungslegung der Allianz und den Stand der Umsetzungsmaßnahmen zur ordnungsgemäßen Überleitung auf die neuen Standards.,0.9129092693328857
"At all regular meetings, reports on legal and compliance issues in the Group, operational risks and the work of the Internal Audit department were presented and discussed in detail.","In sämtlichen regulären Sitzungen erfolgten Berichte über Rechts- und Compliance- Themen im Konzern, über operative Risiken sowie über die Arbeit der Revisionsabteilung, welche jeweils ausführ- lich diskutiert wurden.",0.8618279695510864
"In addition, the Audit Committee discussed the adjustments resulting from the Financial Market Integrity Strengthening Act (FISG), and the internal audit plan for 2022.",Zudem befasste sich der Prüfungsausschuss mit den aus dem Gesetz zur Stärkung der Finanzmarktintegrität (FISG) resultierenden Anpassungen und mit dem Prüfungsplan der internen Revision für 2022.,0.9096351861953735
The Risk Committee held two meetings in 2021.,Der Risikoausschuss hielt im Jahr 2021 zwei Sitzungen ab.,0.9582095742225647
"At both meetings, the committee discussed the current risk situation of the Allianz Group and Allianz SE with the Board of Management.",Der Ausschuss behandelte in beiden Sitzungen mit dem Vorstand die aktuelle Risikosituation des Allianz Konzerns und der Allianz SE.,0.8946653604507446
"At both meetings, the Risk Committee examined the risk strategy in detail, including risk appetite, capital management and the external rating as well as the effectiveness of the risk management system for the Allianz Group and Allianz SE.","Der Risikoausschuss befasste sich in beiden Sitzungen eingehend mit der Risikostrategie und -neigung, dem Kapitalmanagement, dem externen Rating sowie der Wirksamkeit des Risiko- managementsystems für den Allianz Konzern und die Allianz SE.",0.9023491144180298
