english,german,similarity
"OUTPERFORM TRANSFORM REBALANCE ANNUAL REPORT 2018 OUTPERFORM TRANSFORM REBALANCE ANNUAL REPORT 2018 To go directly to any chapter, simply click on the headline or the page number.",OUTPERFORM TRANSFORM REBALANCE GESCHÄFTSBERICHT 2018 OUTPERFORM TRANSFORM REBALANCE GESCHÄFTSBERICHT 2018 Durch Klick auf das jeweilige Kapitel (Überschriften oder Seitenangaben) gelangen Sie direkt an den Kapitelanfang.,0.8658886551856995
Annual Report 2018 − Allianz Group A _ To our Investors OLIVER BÄTE Chairman of the Board of Management With the end of 2018 we concluded the first phase of our Renewal Agenda.,Geschäftsbericht 2018 − Allianz Konzern A _ An unsere Aktionäre OLIVER BÄTE Vorsitzender des Vorstands Mit dem Jahresende 2018 haben wir die erste Phase unser Renewal Agenda abgeschlossen.,0.9054834842681885
"When we started the Renewal Agenda, less than half of our businesses reported Net Promoter Scores above market average, by 2018 it was 74 % of them.","Als wir die Renewal Agenda in Angriff nahmen, wiesen weniger als die Hälfte unserer Geschäfte Net Promoter Scores aus, die über dem Marktdurchschnitt lagen – im Jahr 2018 waren es 74 %.",0.9045496582984924
"We trust that you, our investors, are as satisfied with this development as we are.","Wir vertrauen darauf, dass Sie, unsere Anleger, mit dieser Entwicklung genauso zufrieden sind wie wir.",0.9382466077804565
− We continue the exceptional growth in our life insurance’s value of new business.,− Wir trieben das außergewöhnliche Wachstum des Neugeschäftswerts in unserer Lebensversicherung weiter voran.,0.9394956231117249
− We have received approval for the preparatory establishment of the first-ever insurance holding company in China that is 100 percent owned by a foreign insurer.,"− Wir haben die Genehmigung erhalten, die Gründung der ersten Versicherungsholding in China vorzubereiten, die zu 100 % durch eine ausländische Versicherungsgesellschaft gehalten wird.",0.9583321213722229
By 2040 we will have phased out coal-based business in our proprietary investments and insurance activities.,Bis 2040 werden wir bei unseren eigenen Investitionen und Versicherungsaktivitäten aus kohlebasierten Geschäftsaktivitäten ausgestie- gen sein.,0.8768010139465332
I am grateful to all our employees and partners – it is they who have brought our Renewal Agenda to life.,"Ich bin allen unseren Mitarbeitern und Partnern dankbar: Schließlich sind sie es, die unsere Renewal Agenda mit Leben gefüllt haben.",0.8591632843017578
They bring their hearts and minds to work.,Sie arbeiten mit Herz und Verstand.,0.871110737323761
"Gratified by our customers’ trust, economically successful, and financially solid, we are now ready to take the next steps.","Beflügelt durch das Vertrauen unserer Kunden, wirtschaftlich erfolgreich sowie finanziell solide, sind wir bereit, die nächsten Schritte zu machen.",0.8710767030715942
"As we implement our Renewal Agenda 2.0, we will move up a gear.",Mit der Umsetzung unserer Renewal Agenda 2.0 werden wir noch einen Gang zulegen.,0.9125069975852966
The next chapter of our strategy will be launched with the motto “Simplicity wins”.,Das nächste Kapitel unserer Strategie folgt dem Leitgedanken „Simplicity wins“.,0.9060259461402893
"Simplicity is key, as it enhances customer and employee satisfaction and increases our productivity and flexibility.","„Simplicity“ ist von zentraler Bedeutung, denn Einfach- heit erhöht die Kunden- und Mitarbeiterzufriedenheit und steigert unsere Produktivität und Flexibilität.",0.8969935178756714
"Our goal is for Allianz to become a simple, digital, and scalable organization that is fully customer-centric.","Unser erklärtes Ziel ist es, die Allianz zu einer einfachen, digitalen und skalierbaren Organisation mit 100 % Fokus auf den Kunden zu machen.",0.853720486164093
− Simple – We are going to reduce the complexity of our products and processes.,− Einfach – wir werden die Komplexität unserer Produkte und Prozesse verringern.,0.9776597619056702
− Scalable – We are going to harmonize products and processes across our businesses.,− Skalierbar – wir werden Produkte und Prozesse über unsere gesamte Geschäftstätigkeit hinweg harmonisieren.,0.9079661965370178
