english,german,similarity
Munich.,München.,0.9439122676849365
"Think global, act local.","Think global, act local.",1.0000003576278687
Munich.,München.,0.9439122676849365
"Think global, act local.","Think global, act local.",1.000000238418579
This is reflected in our 2009 financial numbers: Results in life insurance are good overall and results in asset management are excellent.,"Unsere Finanzzahlen 2009 zeigen: Das Ergebnis in der Lebens versicherung ist rundum gut, das im Asset Management sogar ausgezeichnet.",0.899399995803833
Of course not!,Natürlich nicht!,0.9703299403190613
We are trying hard to convince analysts and investors of Allianz’ strength.,"Wir strengen uns an, Analysten und Investoren von der Stärke der Allianz zu überzeugen.",0.864314079284668
We continue to strengthen our business model and improve our competitive position in all markets.,Wir stärken unser Geschäftsmodell weiter und verbessern in allen Märkten unsere Wettbewerbsposition.,0.9490242600440979
"There is no more important factor in the success of your Allianz than the knowledge, dedication and reliability of our 153,203 employees.","Es gibt keinen wichtigeren Erfolgsfaktor Ihrer Allianz als die Kenntnisse, die Einsatzbereitschaft und die Zuverlässigkeit unserer 153 203 Mitarbeiterinnen und Mitarbeiter.",0.9228044748306274
"It is primarily their commitment, their daily decisions and their dedication to our customers that determine the results at the end of the year.","Ihr Engagement, ihre täglichen Entscheidungen und ihre Zuwendung zum Kunden sind es, die am Ende eines Geschäftsjahres maßgeblich das Ergebnis bestimmen.",0.8943134546279907
"From today’s perspective, we expect moderate economic growth for the current financial year and reduced income from investments as a result of historically low interest rates.",Aus heutiger Sicht erwarten wir für das laufende Geschäftsjahr ein verhaltenes Wirtschaftswachstum und wegen der historisch niedrigen Zinsen niedrigere Finanzanlageergebnisse.,0.885786771774292
"The fundamental robustness of our business model allows us to cope with any challenge, as the crisis has shown.","Die fundamentale Robustheit unseres Geschäftsmodells erlaubt es uns, mit jeder Heraus forderung fertig zu werden; das hat die Krise gezeigt.",0.8571431040763855
"We want to use these strengths to position your company at the centre of a strong financial community – together with you, our employees, our distribution partners and our customers worldwide.","Wir wollen diese Stärken dafür einsetzen, Ihr Unternehmen zum Zentrum einer starken Finanzgemeinschaft auszubauen – zusammen mit Ihnen, unseren Mitarbeitern, Vertriebspartnern und unseren Kunden weltweit.",0.9068322777748108
"We, your Allianz, will meet these demands.","Wir, Ihre Allianz, wollen diesen Ansprüchen gerecht werden.",0.852627694606781
Letter to the Shareholder Allianz Group Annual Report 2009 We continue to work on refining our business model and creating an attractive value proposition for all stakeholders.,Aktionärsbrief Geschäftsbericht Allianz Gruppe 2009 Wir arbeiten weiter an der Verfeinerung unseres Geschäftsmodells und an einem attraktiven Wertversprechen für alle.,0.8896394371986389
Gains in operating efficiency and customer service through our new operating model will give us a major advantage to overcome ongoing price competition.,Der Gewinn an operativer Effizienz und Kundenservice durch unser neues Betriebsmodell soll uns im harten Preiswettbewerb eine wichtige Stütze werden.,0.9052229523658752
"Despite the sputtering global economy, we believe in organic growth.",Trotz der stotternden Weltwirtschaft glauben wir an organisches Wachstum.,0.9332496523857117
"We see opportunities for continued expansion, particularly in life insurance, asset management and in Asia.","Vor allem in der Lebensversicherung, im Asset Management und in Asien erkennen wir weitere nachhaltige Expansionsmöglichkeiten.",0.8825180530548096
An accurate forecast in the current environment remains difficult.,Eine exakte Prognose im gegenwärtigen Umfeld bleibt schwierig.,0.894366979598999
The business is going in the right direction.,Das Geschäft läuft in die richtige Richtung.,0.911523699760437
"Michael Diekmann, Chairman of the Board of Management During the fiscal year 2009, the Supervisory Board observed the duties incumbent upon it in accordance with the law and the Statutes.","Michael Diekmann Vorsitzender des Vorstands Sehr geehrte Damen und Herren, der Aufsichtsrat nahm im Geschäftsjahr 2009 die ihm nach Gesetz und Satzung obliegenden Aufgaben wahr.",0.8831638097763062
"Based on the reports provided by the Board of Management, in the Supervisory Board meetings, we discussed in detail the development of the business as well as decisions and processes of importance to the company.",Auf der Grundlage der Berichterstattung des Vorstands erörterten wir in den Aufsichtsratssitzungen ausführlich die Geschäftsentwicklung sowie für das Unternehmen wichtige Entscheidungen und Vorgänge.,0.9133416414260864
"In addition, we were involved in the Board of Management’s planning for the 2010 fiscal year and medium-term planning as well as areas in which actual business development deviated from plan.",Außerdem befassten wir uns mit der Planung des Vorstands für das Geschäftsjahr 2010 und der mittelfristigen Planung sowie mit den Ab- weichungen des tatsächlichen Geschäftsverlaufs von den Planungen.,0.8691202402114868
"We also discussed in depth the remuneration of the Board of Management, adopted a new remuneration system to begin in 2010 and established the future total compensation of the individual members of the Board of Management.","Darüber hinaus berieten wir eingehend über die Vergütung des Vorstands, verabschiedeten ein neues Ver- gütungssystem ab dem Jahr 2010 und setzten die künftige Gesamtvergütung der einzelnen Vorstandsmitglieder fest.",0.87162184715271
"In the fiscal year 2009, the Supervisory Board held five meetings and one discussion via telephone.",Im Geschäftsjahr 2009 hielt der Aufsichtsrat fünf Sitzungen und eine telefonische Aussprache ab.,0.9109146595001221
"In January 2009, the Supervisory Board held an extra- ordinary meeting (conference call) in connection with the sale of Dresdner Bank AG to Commerzbank AG.",Im Januar 2009 hielt der Aufsichtsrat eine außerordentliche Telefonkonferenz im Zusammenhang mit dem Verkauf der Dresdner Bank AG an die Commerzbank AG ab.,0.9244182705879211
"In addition, following the meeting of the audit committee in February 2009, a discussion on the dividend proposal of the Board of Management was held in which all Supervisory Board members had the opportunity to participate by telephone.","Darüber hinaus wurde im Februar 2009 im Anschluss an die Sitzung des Prüfungsausschusses eine Aussprache über den Dividendenvorschlag des Vorstands durchgeführt, bei der alle Aufsichtsratsmitglieder die Möglichkeit hatten, sich telefonisch zuzuschalten.",0.9075079560279846
"Addition- ally, the chairman of the Supervisory Board was continually kept up to date on major developments and decisions.",Der Aufsichtsratsvorsitzende wurde darüber hinaus ständig von wesentlichen Entwicklungen und Entscheidungen in Kenntnis gesetzt.,0.8575499057769775
The Board of Management reports on the business situation and presentations on particular issues were accompanied by written presentations and documents that were sent before each meeting to each Supervisory Board member for the purposes of preparation.,"Die Vorstandsberichte zur Geschäftslage und Referate zu besonderen Themen waren von schriftlichen Präsentatio- nen und Unterlagen begleitet, die jeweils vor der Sitzung zur Vor bereitung an jedes Aufsichtsratsmitglied geschickt wurden.",0.8897085189819336
"The Board of Man- agement informed us regularly about the status of the Hartford investment, the U.S. life insurance business, Allianz Banking and the development of the credit insurance busi- ness at Euler Hermes and advised us of the status of major legal disputes.","Kontinuierlich wurden wir vom Vorstand über das Hartford-Investment, das US-Lebensversicherungsge- schäft, das Allianz Banking und die Entwicklung des Kredit- versicherungsgeschäfts bei Euler Hermes informiert und berieten über den Stand wesentlicher Rechtsstreitigkeiten.",0.8815727829933167
Within our work on the Supervisory Board we put special emphasis on the crisis on the global financial and capital markets which arose in the aftermath of the turbulence on the U.S. real estate and mortgage market.,"Einen wichtigen Schwerpunkt unserer Arbeit im Aufsichts- rat bildete die weltweite Finanz- und Kapitalmarktkrise, die sich in der Folge der US-amerikanischen Immobilien- und Hypothekenmarktturbulenzen entwickelte.",0.8552162647247314
We also discussed with the Board of Management valuation issues and the further course of action required in the wake of these market disruptions.,Wir erörterten mit dem Vorstand auch die Bewertungsfragen und den aus den Marktstörungen abzuleitenden weiteren Handlungsbedarf.,0.8614172339439392
The Supervisory Board gave the necessary approval to the profit transfer agreement of Allianz SE with Allianz Shared Infrastructure Services SE on the basis of the written and verbal explanations provided by the Board of Management.,Dem Beherrschungs- und Gewinnabführungsvertrag der Allianz SE mit der Allianz Shared Infrastructure Services SE erteilte der Aufsichtsrat aufgrund der schriftlichen und der mündlichen Erläuterun- gen des Vorstands die erforderliche Zustimmung.,0.8893806338310242
"After extensive consultation, the Supervisory Board approved the key points of a new compensation system, subject to the resolution’s final adoption at the December 2009 meeting.","Nach umfassender Beratung stimmte der Aufsichtsrat den Eckpunkten für ein neues Vergütungssystem zu, vorbehaltlich der endgültigen Beschlussfassung in der Sitzung im Dezember 2009.",0.8794395923614502
